Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
1950,21.0 ,15.0 ,12.0 ,19.0 ,18.0 ,12.0 ,15.0 ,15.0 ,28.0 ,2.0 ,17.0 ,11.0 ,12.0 ,9.0 ,23.0 ,8.0 ,4.0 ,7.0 ,10.0 ,18.0 ,22.0 ,1.0 ,5.0 ,3.0 ,12.8
1951,18.0 ,22.0 ,8.0 ,9.0 ,1.0 ,15.0 ,35.0 ,16.0 ,33.0 ,13.0 ,12.0 ,10.0 ,26.0 ,18.0 ,11.0 ,11.0 ,13.0 ,3.0 ,24.0 ,23.0 ,20.0 ,16.0 ,5.0 ,5.0 ,15.3
1952,14.0 ,21.0 ,8.0 ,14.0 ,23.0 ,7.0 ,22.0 ,0.0 ,31.0 ,30.0 ,10.0 ,23.0 ,31.0 ,12.0 ,7.0 ,24.0 ,5.0 ,23.0 ,18.0 ,10.0 ,5.0 ,11.0 ,15.0 ,12.0 ,15.7
1953,11.0 ,14.0 ,20.0 ,12.0 ,12.0 ,21.0 ,22.0 ,0.0 ,15.0 ,4.0 ,30.0 ,10.0 ,21.0 ,6.0 ,16.0 ,23.0 ,16.0 ,26.0 ,4.0 ,6.0 ,16.0 ,7.0 ,16.0 ,13.0 ,14.2
1954,8.0 ,7.0 ,3.0 ,19.0 ,21.0 ,4.0 ,10.0 ,10.0 ,18.0 ,12.0 ,7.0 ,11.0 ,9.0 ,7.0 ,27.0 ,19.0 ,14.0 ,7.0 ,7.0 ,27.0 ,21.0 ,9.0 ,20.0 ,20.0 ,13.2
1955,7.0 ,7.0 ,13.0 ,17.0 ,26.0 ,16.0 ,17.0 ,9.0 ,6.0 ,10.0 ,6.0 ,15.0 ,9.0 ,1.0 ,11.0 ,17.0 ,4.0 ,2.0 ,18.0 ,7.0 ,16.0 ,8.0 ,7.0 ,5.0 ,10.6
1956,28.0 ,17.0 ,18.0 ,4.0 ,9.0 ,21.0 ,41.0 ,6.0 ,28.0 ,2.0 ,18.0 ,18.0 ,26.0 ,17.0 ,12.0 ,14.0 ,4.0 ,1.0 ,10.0 ,17.0 ,7.0 ,10.0 ,3.0 ,0.0 ,13.8
1957,17.0 ,8.0 ,9.0 ,20.0 ,8.0 ,11.0 ,30.0 ,12.0 ,12.0 ,18.0 ,7.0 ,9.0 ,3.0 ,27.0 ,23.0 ,8.0 ,3.0 ,60.0 ,29.0 ,11.0 ,9.0 ,3.0 ,34.0 ,3.0 ,15.6
1958,10.0 ,10.0 ,7.0 ,6.0 ,2.0 ,13.0 ,15.0 ,23.0 ,2.0 ,8.0 ,20.0 ,13.0 ,19.0 ,18.0 ,17.0 ,6.0 ,3.0 ,21.0 ,15.0 ,20.0 ,8.0 ,7.0 ,6.0 ,6.0 ,11.5
1959,7.0 ,17.0 ,34.0 ,20.0 ,5.0 ,11.0 ,17.0 ,7.0 ,15.0 ,3.0 ,13.0 ,18.0 ,14.0 ,14.0 ,7.0 ,17.0 ,20.0 ,4.0 ,5.0 ,9.0 ,11.0 ,11.0 ,10.0 ,0.0 ,12.0
1960,27.0 ,6.0 ,18.0 ,9.0 ,15.0 ,14.0 ,14.0 ,9.0 ,11.0 ,26.0 ,4.0 ,14.0 ,23.0 ,37.0 ,9.0 ,10.0 ,1.0 ,3.0 ,12.0 ,2.0 ,8.0 ,15.0 ,13.0 ,7.0 ,12.8
1961,9.0 ,17.0 ,6.0 ,11.0 ,23.0 ,27.0 ,3.0 ,15.0 ,18.0 ,11.0 ,16.0 ,20.0 ,9.0 ,17.0 ,5.0 ,11.0 ,27.0 ,43.0 ,9.0 ,3.0 ,12.0 ,8.0 ,15.0 ,3.0 ,14.1
1962,8.0 ,35.0 ,9.0 ,5.0 ,2.0 ,32.0 ,14.0 ,26.0 ,17.0 ,10.0 ,6.0 ,12.0 ,14.0 ,19.0 ,8.0 ,22.0 ,0.0 ,4.0 ,2.0 ,9.0 ,13.0 ,3.0 ,18.0 ,11.0 ,12.5
1963,26.0 ,3.0 ,2.0 ,19.0 ,10.0 ,17.0 ,5.0 ,4.0 ,27.0 ,13.0 ,0.0 ,5.0 ,10.0 ,14.0 ,11.0 ,14.0 ,22.0 ,2.0 ,9.0 ,10.0 ,19.0 ,12.0 ,5.0 ,11.0 ,11.2
1964,14.0 ,21.0 ,5.0 ,10.0 ,3.0 ,13.0 ,12.0 ,19.0 ,7.0 ,0.0 ,6.0 ,14.0 ,14.0 ,1.0 ,6.0 ,6.0 ,18.0 ,41.0 ,16.0 ,9.0 ,8.0 ,21.0 ,4.0 ,15.0 ,11.8
1965,7.0 ,14.0 ,6.0 ,19.0 ,23.0 ,9.0 ,15.0 ,7.0 ,10.0 ,7.0 ,11.0 ,5.0 ,8.0 ,2.0 ,2.0 ,18.0 ,15.0 ,28.0 ,21.0 ,3.0 ,9.0 ,12.0 ,9.0 ,14.0 ,11.4
1966,8.0 ,6.0 ,1.0 ,10.0 ,5.0 ,10.0 ,11.0 ,4.0 ,7.0 ,38.0 ,11.0 ,8.0 ,4.0 ,20.0 ,6.0 ,18.0 ,9.0 ,1.0 ,10.0 ,7.0 ,11.0 ,11.0 ,17.0 ,6.0 ,10.0
1967,18.0 ,21.0 ,2.0 ,17.0 ,38.0 ,5.0 ,13.0 ,8.0 ,19.0 ,32.0 ,13.0 ,14.0 ,21.0 ,19.0 ,23.0 ,14.0 ,10.0 ,8.0 ,9.0 ,11.0 ,17.0 ,9.0 ,9.0 ,5.0 ,14.8
1968,8.0 ,8.0 ,14.0 ,11.0 ,13.0 ,10.0 ,14.0 ,1.0 ,20.0 ,17.0 ,14.0 ,13.0 ,25.0 ,18.0 ,1.0 ,12.0 ,17.0 ,2.0 ,11.0 ,8.0 ,17.0 ,15.0 ,11.0 ,11.0 ,12.1
