,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating,Year_Built,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean,WARD
0,703 HIGHWAY 8 (ALECTRA UTILITIES),Work Yards & Maintenance,703 HIGHWAY 8,31411.0,1986-04-26,0.0664588185457684,1986.0,1.7692307692307692,55.21794871794872,42.12820512820513,13.832307692307694,5.10948717948718,9.47307692307692,828.2917948717951,6.756410256410256,10
1,ALEXANDER PARK - FIELDHOUSE,Park Facilities - Public Use,201 WHITNEY AVENUE,1954.0,1973-01-02,0.0988951818089365,1973.0,1.4807692307692308,64.41346153846153,48.78846153846154,13.399615384615384,3.87596153846154,8.63423076923077,837.0038461538462,6.951923076923077,1
2,ALEXANDER PARK WADING POOL UTILITY BUILDING,Outdoor Pools,201 WHITNEY AVENUE,72.0,2011-01-01,0.0,2011.0,2.857142857142857,61.21428571428572,40.5,14.232857142857144,4.777857142857143,9.498571428571427,854.9085714285715,7.535714285714286,1
3,ANCASTER AQUATIC CENTRE (P),Indoor Pools,47 MEADOWBROOK DRIVE,19067.0,1982-01-02,0.0120632145487517,1982.0,1.6046511627906976,65.38372093023256,49.75581395348837,13.43906976744186,3.78906976744186,8.612325581395348,852.6251162790697,7.104651162790698,12
4,ANCASTER COMMUNITY CENTRE PARK - FIELDHOUSE,Park Facilities - Public Use,385 JERSEYVILLE ROAD WEST,1112.0,1996-01-02,0.0829956430023143,1996.0,2.103448275862069,64.05172413793103,46.46551724137931,13.804827586206896,4.166896551724138,8.983448275862068,856.7506896551726,7.310344827586207,12
5,Ancaster Community Centre Park - Sun Shelter,Park Facilities - Public Use,385 Jerseyville Rd. W.,800.0,1996-03-15,0.4109352774017059,1996.0,2.103448275862069,64.05172413793103,46.46551724137931,13.804827586206896,4.166896551724138,8.983448275862068,856.7506896551726,7.310344827586207,12
6,ANCASTER LIONS OUTDOOR POOL,Outdoor Pools,263 JERSEYVILLE ROAD WEST,10526.0,1992-01-02,0.144546875605773,1992.0,1.9393939393939397,62.72727272727273,46.98484848484848,13.651212121212122,4.227272727272728,8.940606060606061,849.9878787878788,7.303030303030303,12
7,ANCASTER LITTLE LEAGUE PARK - CONCESSION & CHANGEROOM,Park Facilities - Public Use,286 JERSEYVILLE ROAD WEST,1099.0,1971-01-02,0.1056205423563559,1971.0,1.351851851851852,64.47222222222223,50.657407407407405,13.24296296296296,3.797037037037037,8.520555555555557,844.0807407407408,7.074074074074074,12
8,ANCASTER LITTLE LEAGUE PARK - CONCESSION WASHROOMS,Park Facilities - Public Use,286 JERSEYVILLE ROAD WEST,1099.0,2011-01-01,0.0104751361724468,2011.0,2.642857142857143,61.10714285714285,42.0,14.102142857142857,4.720714285714286,9.405714285714284,862.1378571428573,7.642857142857143,12
9,ANCASTER MEMORIAL ARTS CENTRE,Administration Facilities,357 WILSON STREET EAST,14182.0,1947-01-01,0.2567157209188313,1947.0,1.04,65.53333333333333,52.973333333333336,13.0048,3.548666666666666,8.274266666666666,839.1788,6.88,12
