,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating
2,703 HIGHWAY 8 (ALECTRA UTILITIES),Work Yards & Maintenance,703 HIGHWAY 8,31411,1986-04-26,0.06645881854576849
3,ALEXANDER PARK - FIELDHOUSE,Park Facilities - Public Use,201 WHITNEY AVENUE,1954,1973-01-02,0.0988951818089365
4,ALEXANDER PARK WADING POOL UTILITY BUILDING,Outdoor Pools,201 WHITNEY AVENUE,72,2011-01-01,0
5,ANCASTER AQUATIC CENTRE (P),Indoor Pools,47 MEADOWBROOK DRIVE,19067,1982-01-02,0.012063214548751781
6,ANCASTER COMMUNITY CENTRE PARK - FIELDHOUSE,Park Facilities - Public Use,385 JERSEYVILLE ROAD WEST,1112,1996-01-02,0.08299564300231439
7,Ancaster Community Centre Park - Sun Shelter,Park Facilities - Public Use,385 Jerseyville Rd. W.,800,1996-03-15,0.41093527740170593
8,ANCASTER LIONS OUTDOOR POOL,Outdoor Pools,263 JERSEYVILLE ROAD WEST,10526,1992-01-02,0.14454687560577303
9,ANCASTER LITTLE LEAGUE PARK - CONCESSION & CHANGEROOM,Park Facilities - Public Use,286 JERSEYVILLE ROAD WEST,1099,1971-01-02,0.10562054235635591
10,ANCASTER LITTLE LEAGUE PARK - CONCESSION WASHROOMS,Park Facilities - Public Use,286 JERSEYVILLE ROAD WEST,1099,2011-01-01,0.010475136172446872
11,ANCASTER MEMORIAL ARTS CENTRE,Administration Facilities,357 WILSON STREET EAST,14182,1947-01-01,0.2567157209188313
12,ANCASTER OPERATIONS CENTRE - MAIN BUILDING (F),Work Yards & Maintenance,501 SHAVER ROAD,21860,1995-01-02,0.11419348961927199
13,ANCASTER OPERATIONS CENTRE - NORTH GARAGE,Work Yards & Maintenance,501 SHAVER ROAD,8091,1983-01-02,0.0757613383924549
14,ANCASTER OPERATIONS CENTRE - SALT / SAND STORAGE,Work Yards & Maintenance,501 SHAVER ROAD,4816,2006-01-01,0.094765935632113
15,ANCASTER SENIORS ACHIEVEMENT CENTRE,Senior Centres,622 ALBERTON ROAD SOUTH,14377,1969-01-02,0.10126672502802649
16,ANCASTER SQUARE (L & MSC),Libraries,300 WILSON STREET EAST,17678,1996-01-02,0.006869915251605679
17,ANCASTER THEATRE (OLD FIREHALL),Administration Facilities,334 WILSON STREET EAST,4971,1960-01-02,0.008721310121517032
18,ANDY WARBURTON MEMORIAL PARK - UTILITY BUILDING,Park Facilities - Public Use,199 TRAGINA AVENUE NORTH,688,1985-09-20,0.15879700836364355
19,BARTON COMMUNITY HUB (CARPENTER'S SHOP),Work Yards & Maintenance,200 CAROLINE STREET NORTH,13453,1950-01-02,0.01890166705807275
20,BARTON LIBRARY,Libraries,571 BARTON STREET EAST,7612,1999-01-02,0.08162087839507982
21,BATTLEFIELD - PARK PAVILION (H),Park Facilities - Public Use,77 KING STREET WEST,3350,2004-01-02,0.017348084148240274
22,BAYFRONT PARK - CONCESSION,Park Facilities - Public Use,200 HARBOUR FRONT DRIVE,693,2002-08-28,0.015043017128690161
23,Bayfront Park - Storage Bldg West Of Yacht Club,Park Facilities - Maintenance & Storage,202 Harbour Front Drive,455,1985-09-20,0
24,Bayfront Park - Storage Building,Park Facilities - Maintenance & Storage,200 Harbour Dr.,200,2017-06-16,0
