,Asset Name,Asset Name: Address,Asset Name: Size,Asset Name: Date Built,Custom: Assessment Date,formattted_address,latitude,longitude,formatted_address,location,geometry,index_right,OBJECTID,WARD,COUNCILLOR_NAME,PHONE,EMAIL,WEBSITE,PICTURE_URL,Shape__Area,Shape__Length
2,703 HIGHWAY 8 (ALECTRA UTILITIES),703 HIGHWAY 8,31411,1986-04-26,Model,"703 highway 8, Hamilton, Ontario",43.21291532,-79.69830048,"703 Hwy 8, Stoney Creek, Ontario, L8E 5J6","703 Hwy 8, Stoney Creek, Ontario, L8E 5J6",POINT (-79.698300482565 43.212915315858),9,10,10,Jeff Beattie,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?itok=pdfLrJ5N,31395293.41,31057.20076
3,ALEXANDER PARK - FIELDHOUSE,201 WHITNEY AVENUE,1954,1973-01-02,2017,"201 whitney avenue, Hamilton, Ontario",43.25277902,-79.92766959,"201 Whitney Ave, Hamilton, Ontario, L8S 2G6","201 Whitney Ave, Hamilton, Ontario, L8S 2G6",POINT (-79.92766958658 43.252779018717),0,1,1,Maureen Wilson,905-546-2416,ward1@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrMWilson2022.jpg.jpeg?itok=N6brvJsa,15325354.31,27766.73053
4,ALEXANDER PARK WADING POOL UTILITY BUILDING,201 WHITNEY AVENUE,72,2011-01-01,2017,"201 whitney avenue, Hamilton, Ontario",43.25277902,-79.92766959,"201 Whitney Ave, Hamilton, Ontario, L8S 2G6","201 Whitney Ave, Hamilton, Ontario, L8S 2G6",POINT (-79.92766958658 43.252779018717),0,1,1,Maureen Wilson,905-546-2416,ward1@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrMWilson2022.jpg.jpeg?itok=N6brvJsa,15325354.31,27766.73053
5,ANCASTER AQUATIC CENTRE (P),47 MEADOWBROOK DRIVE,19067,1982-01-02,2020,"47 meadowbrook drive, Hamilton, Ontario",43.215197,-80.00617189,"47 Meadowbrook Dr, Ancaster, Ontario, L9G 4Y3","47 Meadowbrook Dr, Ancaster, Ontario, L9G 4Y3",POINT (-80.006171893331 43.21519699563),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
6,ANCASTER COMMUNITY CENTRE PARK - FIELDHOUSE,385 JERSEYVILLE ROAD WEST,1112,1996-01-02,2011,"385 jerseyville road west, Hamilton, Ontario",43.21673449,-80.00732248,"385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-80.00732247718 43.21673448813),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
7,Ancaster Community Centre Park - Sun Shelter,385 Jerseyville Rd. W.,800,1996-03-15,Model,"385 jerseyville rd. w., Hamilton, Ontario",43.21673449,-80.00732248,"385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-80.00732247718 43.21673448813),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
8,ANCASTER LIONS OUTDOOR POOL,263 JERSEYVILLE ROAD WEST,10526,1992-01-02,2018,"263 jerseyville road west, Hamilton, Ontario",43.2180564,-79.99970852,"263 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","263 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-79.999708523974 43.21805639808),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
9,ANCASTER LITTLE LEAGUE PARK - CONCESSION & CHANGEROOM,286 JERSEYVILLE ROAD WEST,1099,1971-01-02,2017,"286 jerseyville road west, Hamilton, Ontario",43.21710472,-79.99984674,"286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7","286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7",POINT (-79.999846741557 43.217104716793),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
10,ANCASTER LITTLE LEAGUE PARK - CONCESSION WASHROOMS,286 JERSEYVILLE ROAD WEST,1099,2011-01-01,Model,"286 jerseyville road west, Hamilton, Ontario",43.21710472,-79.99984674,"286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7","286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7",POINT (-79.999846741557 43.217104716793),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
11,ANCASTER MEMORIAL ARTS CENTRE,357 WILSON STREET EAST,14182,1947-01-01,Model,"357 wilson street east, Hamilton, Ontario",43.22734242,-79.97636266,"357 Wilson St E, Ancaster, Ontario, L9G 2C1","357 Wilson St E, Ancaster, Ontario, L9G 2C1",POINT (-79.976362660516 43.227342415241),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
