,Asset Name,Asset Name: Address,Asset Name: Size,Asset Name: Date Built,Custom: Assessment Date,formattted_address,latitude,longitude,formatted_address,location,geometry,index_right,OBJECTID,WARD,COUNCILLOR_NAME,PHONE,EMAIL,WEBSITE,PICTURE_URL,Shape__Area,Shape__Length,year,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean
0,703 HIGHWAY 8 (ALECTRA UTILITIES),703 HIGHWAY 8,31411.0,1986-04-26,Model,"703 highway 8, Hamilton, Ontario",43.21291532,-79.69830048,"703 Hwy 8, Stoney Creek, Ontario, L8E 5J6","703 Hwy 8, Stoney Creek, Ontario, L8E 5J6",POINT (-79.698300482565 43.212915315858),9.0,10.0,10,Jeff Beattie,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?itok=pdfLrJ5N,31395293.41,31057.20076,1986.0,1.7692307692307692,55.217948717948715,42.12820512820513,13.832307692307694,5.1094871794871795,9.47307692307692,828.2917948717951,6.756410256410256
1,ALEXANDER PARK - FIELDHOUSE,201 WHITNEY AVENUE,1954.0,1973-01-02,2017,"201 whitney avenue, Hamilton, Ontario",43.25277902,-79.92766959,"201 Whitney Ave, Hamilton, Ontario, L8S 2G6","201 Whitney Ave, Hamilton, Ontario, L8S 2G6",POINT (-79.92766958658 43.252779018717),0.0,1.0,1,Maureen Wilson,905-546-2416,ward1@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrMWilson2022.jpg.jpeg?itok=N6brvJsa,15325354.31,27766.73053,1973.0,1.4807692307692308,64.41346153846153,48.78846153846154,13.399615384615384,3.8759615384615396,8.63423076923077,837.0038461538462,6.951923076923077
2,ALEXANDER PARK WADING POOL UTILITY BUILDING,201 WHITNEY AVENUE,72.0,2011-01-01,2017,"201 whitney avenue, Hamilton, Ontario",43.25277902,-79.92766959,"201 Whitney Ave, Hamilton, Ontario, L8S 2G6","201 Whitney Ave, Hamilton, Ontario, L8S 2G6",POINT (-79.92766958658 43.252779018717),0.0,1.0,1,Maureen Wilson,905-546-2416,ward1@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrMWilson2022.jpg.jpeg?itok=N6brvJsa,15325354.31,27766.73053,2011.0,2.857142857142857,61.214285714285715,40.5,14.232857142857144,4.777857142857143,9.498571428571427,854.9085714285715,7.535714285714286
3,ANCASTER AQUATIC CENTRE (P),47 MEADOWBROOK DRIVE,19067.0,1982-01-02,2020,"47 meadowbrook drive, Hamilton, Ontario",43.215197,-80.00617189,"47 Meadowbrook Dr, Ancaster, Ontario, L9G 4Y3","47 Meadowbrook Dr, Ancaster, Ontario, L9G 4Y3",POINT (-80.006171893331 43.21519699563),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1982.0,1.6046511627906976,65.38372093023256,49.75581395348837,13.439069767441861,3.78906976744186,8.612325581395348,852.6251162790697,7.104651162790698
4,ANCASTER COMMUNITY CENTRE PARK - FIELDHOUSE,385 JERSEYVILLE ROAD WEST,1112.0,1996-01-02,2011,"385 jerseyville road west, Hamilton, Ontario",43.21673449,-80.00732248,"385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-80.00732247718 43.21673448813),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1996.0,2.103448275862069,64.05172413793103,46.46551724137931,13.804827586206896,4.166896551724138,8.983448275862068,856.7506896551726,7.310344827586207
5,Ancaster Community Centre Park - Sun Shelter,385 Jerseyville Rd. W.,800.0,1996-03-15,Model,"385 jerseyville rd. w., Hamilton, Ontario",43.21673449,-80.00732248,"385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","385 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-80.00732247718 43.21673448813),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1996.0,2.103448275862069,64.05172413793103,46.46551724137931,13.804827586206896,4.166896551724138,8.983448275862068,856.7506896551726,7.310344827586207
6,ANCASTER LIONS OUTDOOR POOL,263 JERSEYVILLE ROAD WEST,10526.0,1992-01-02,2018,"263 jerseyville road west, Hamilton, Ontario",43.2180564,-79.99970852,"263 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5","263 Jerseyville Rd W, Ancaster, Ontario, L9G 3L5",POINT (-79.999708523974 43.21805639808),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1992.0,1.9393939393939394,62.72727272727273,46.984848484848484,13.651212121212122,4.2272727272727275,8.940606060606061,849.9878787878788,7.303030303030303
7,ANCASTER LITTLE LEAGUE PARK - CONCESSION & CHANGEROOM,286 JERSEYVILLE ROAD WEST,1099.0,1971-01-02,2017,"286 jerseyville road west, Hamilton, Ontario",43.21710472,-79.99984674,"286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7","286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7",POINT (-79.999846741557 43.217104716793),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1971.0,1.3518518518518519,64.47222222222223,50.657407407407405,13.242962962962961,3.797037037037037,8.520555555555557,844.0807407407408,7.074074074074074
8,ANCASTER LITTLE LEAGUE PARK - CONCESSION WASHROOMS,286 JERSEYVILLE ROAD WEST,1099.0,2011-01-01,Model,"286 jerseyville road west, Hamilton, Ontario",43.21710472,-79.99984674,"286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7","286 Jerseyville Rd W, Ancaster, Ontario, L9G 3K7",POINT (-79.999846741557 43.217104716793),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,2011.0,2.642857142857143,61.107142857142854,42.0,14.102142857142855,4.720714285714286,9.405714285714284,862.1378571428573,7.642857142857143
9,ANCASTER MEMORIAL ARTS CENTRE,357 WILSON STREET EAST,14182.0,1947-01-01,Model,"357 wilson street east, Hamilton, Ontario",43.22734242,-79.97636266,"357 Wilson St E, Ancaster, Ontario, L9G 2C1","357 Wilson St E, Ancaster, Ontario, L9G 2C1",POINT (-79.976362660516 43.227342415241),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1947.0,1.04,65.53333333333333,52.973333333333336,13.0048,3.548666666666666,8.274266666666666,839.1788,6.88
