time,lat,lon,ssp126_tx_mean_p10,ssp126_tx_mean_p50,ssp126_tx_mean_p90,ssp245_tx_mean_p10,ssp245_tx_mean_p50,ssp245_tx_mean_p90,ssp585_tx_mean_p10,ssp585_tx_mean_p50,ssp585_tx_mean_p90
1950-01-01,43.124999915000004,-80.125002435,11.82,12.75,13.62,11.82,12.75,13.62,11.82,12.75,13.62
1951-01-01,43.124999915000004,-80.125002435,11.42,12.90,14.04,11.42,12.90,14.04,11.42,12.90,14.04
1952-01-01,43.124999915000004,-80.125002435,11.81,12.62,13.29,11.81,12.62,13.29,11.81,12.62,13.29
1953-01-01,43.124999915000004,-80.125002435,11.54,12.44,13.94,11.54,12.44,13.94,11.54,12.44,13.94
1954-01-01,43.124999915000004,-80.125002435,11.63,12.27,13.41,11.63,12.27,13.41,11.63,12.27,13.41
1955-01-01,43.124999915000004,-80.125002435,11.41,12.47,13.74,11.41,12.47,13.74,11.41,12.47,13.74
1956-01-01,43.124999915000004,-80.125002435,11.34,12.47,13.69,11.34,12.47,13.69,11.34,12.47,13.69
1957-01-01,43.124999915000004,-80.125002435,11.95,12.77,13.85,11.95,12.77,13.85,11.95,12.77,13.85
1958-01-01,43.124999915000004,-80.125002435,11.86,13.03,13.59,11.86,13.03,13.59,11.86,13.03,13.59
1959-01-01,43.124999915000004,-80.125002435,11.56,12.56,13.75,11.56,12.56,13.75,11.56,12.56,13.75
1960-01-01,43.124999915000004,-80.125002435,11.89,12.86,13.75,11.89,12.86,13.75,11.89,12.86,13.75
1961-01-01,43.124999915000004,-80.125002435,11.99,12.71,13.85,11.99,12.71,13.85,11.99,12.71,13.85
1962-01-01,43.124999915000004,-80.125002435,11.99,12.76,13.69,11.99,12.76,13.69,11.99,12.76,13.69
1963-01-01,43.124999915000004,-80.125002435,11.74,12.65,13.11,11.74,12.65,13.11,11.74,12.65,13.11
1964-01-01,43.124999915000004,-80.125002435,11.53,12.60,13.53,11.53,12.60,13.53,11.53,12.60,13.53
1965-01-01,43.124999915000004,-80.125002435,11.46,12.27,13.04,11.46,12.27,13.04,11.46,12.27,13.04
1966-01-01,43.124999915000004,-80.125002435,11.57,12.67,13.54,11.57,12.67,13.54,11.57,12.67,13.54
1967-01-01,43.124999915000004,-80.125002435,11.71,12.40,13.60,11.71,12.40,13.60,11.71,12.40,13.60
1968-01-01,43.124999915000004,-80.125002435,11.02,12.05,13.27,11.02,12.05,13.27,11.02,12.05,13.27
1969-01-01,43.124999915000004,-80.125002435,11.42,12.20,13.01,11.42,12.20,13.01,11.42,12.20,13.01
1970-01-01,43.124999915000004,-80.125002435,11.42,12.45,13.54,11.42,12.45,13.54,11.42,12.45,13.54
1971-01-01,43.124999915000004,-80.125002435,11.46,12.73,13.73,11.46,12.73,13.73,11.46,12.73,13.73
1972-01-01,43.124999915000004,-80.125002435,11.80,12.80,13.44,11.80,12.80,13.44,11.80,12.80,13.44
1973-01-01,43.124999915000004,-80.125002435,11.85,12.47,12.97,11.85,12.47,12.97,11.85,12.47,12.97
1974-01-01,43.124999915000004,-80.125002435,11.47,12.56,13.67,11.47,12.56,13.67,11.47,12.56,13.67
1975-01-01,43.124999915000004,-80.125002435,11.58,12.91,13.97,11.58,12.91,13.97,11.58,12.91,13.97
1976-01-01,43.124999915000004,-80.125002435,11.17,12.41,14.05,11.17,12.41,14.05,11.17,12.41,14.05
1977-01-01,43.124999915000004,-80.125002435,11.78,12.87,13.63,11.78,12.87,13.63,11.78,12.87,13.63
1978-01-01,43.124999915000004,-80.125002435,11.78,12.99,13.54,11.78,12.99,13.54,11.78,12.99,13.54
1979-01-01,43.124999915000004,-80.125002435,11.89,13.07,13.88,11.89,13.07,13.88,11.89,13.07,13.88
