time,lat,lon,ssp126_tn_mean_p10,ssp126_tn_mean_p50,ssp126_tn_mean_p90,ssp245_tn_mean_p10,ssp245_tn_mean_p50,ssp245_tn_mean_p90,ssp585_tn_mean_p10,ssp585_tn_mean_p50,ssp585_tn_mean_p90
1950-01-01,43.124999915000004,-80.125002435,1.87,3.01,3.87,1.87,3.01,3.87,1.87,3.01,3.87
1951-01-01,43.124999915000004,-80.125002435,1.85,3.18,3.83,1.85,3.18,3.83,1.85,3.18,3.83
1952-01-01,43.124999915000004,-80.125002435,1.70,2.72,3.54,1.70,2.72,3.54,1.70,2.72,3.54
1953-01-01,43.124999915000004,-80.125002435,1.73,2.79,3.85,1.73,2.79,3.85,1.73,2.79,3.85
1954-01-01,43.124999915000004,-80.125002435,1.80,2.60,3.64,1.80,2.60,3.64,1.80,2.60,3.64
1955-01-01,43.124999915000004,-80.125002435,1.60,2.77,3.81,1.60,2.77,3.81,1.60,2.77,3.81
1956-01-01,43.124999915000004,-80.125002435,1.24,2.75,3.68,1.24,2.75,3.68,1.24,2.75,3.68
1957-01-01,43.124999915000004,-80.125002435,1.96,2.97,3.98,1.96,2.97,3.98,1.96,2.97,3.98
1958-01-01,43.124999915000004,-80.125002435,2.20,3.24,4.09,2.20,3.24,4.09,2.20,3.24,4.09
1959-01-01,43.124999915000004,-80.125002435,2.05,2.92,4.17,2.05,2.92,4.17,2.05,2.92,4.17
1960-01-01,43.124999915000004,-80.125002435,2.27,3.02,3.70,2.27,3.02,3.70,2.27,3.02,3.70
1961-01-01,43.124999915000004,-80.125002435,2.17,3.03,4.12,2.17,3.03,4.12,2.17,3.03,4.12
1962-01-01,43.124999915000004,-80.125002435,1.98,3.04,3.67,1.98,3.04,3.67,1.98,3.04,3.67
1963-01-01,43.124999915000004,-80.125002435,1.88,3.01,3.49,1.88,3.01,3.49,1.88,3.01,3.49
1964-01-01,43.124999915000004,-80.125002435,1.80,2.62,4.16,1.80,2.62,4.16,1.80,2.62,4.16
1965-01-01,43.124999915000004,-80.125002435,1.74,2.35,3.24,1.74,2.35,3.24,1.74,2.35,3.24
1966-01-01,43.124999915000004,-80.125002435,1.69,2.63,3.76,1.69,2.63,3.76,1.69,2.63,3.76
1967-01-01,43.124999915000004,-80.125002435,1.80,2.78,3.69,1.80,2.78,3.69,1.80,2.78,3.69
1968-01-01,43.124999915000004,-80.125002435,1.16,2.38,3.50,1.16,2.38,3.50,1.16,2.38,3.50
1969-01-01,43.124999915000004,-80.125002435,1.73,2.59,3.28,1.73,2.59,3.28,1.73,2.59,3.28
