time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1950-01-01,43.041666585,-80.125002435,6.96,7.96,8.85,6.96,7.96,8.85,6.96,7.96,8.85
1951-01-01,43.041666585,-80.125002435,6.76,8.07,8.88,6.76,8.07,8.88,6.76,8.07,8.88
1952-01-01,43.041666585,-80.125002435,6.82,7.82,8.51,6.82,7.82,8.51,6.82,7.82,8.51
1953-01-01,43.041666585,-80.125002435,6.64,7.63,9.00,6.64,7.63,9.00,6.64,7.63,9.00
1954-01-01,43.041666585,-80.125002435,6.82,7.38,8.57,6.82,7.38,8.57,6.82,7.38,8.57
1955-01-01,43.041666585,-80.125002435,6.56,7.69,8.84,6.56,7.69,8.84,6.56,7.69,8.84
1956-01-01,43.041666585,-80.125002435,6.37,7.63,8.68,6.37,7.63,8.68,6.37,7.63,8.68
1957-01-01,43.041666585,-80.125002435,7.07,7.91,8.92,7.07,7.91,8.92,7.07,7.91,8.92
1958-01-01,43.041666585,-80.125002435,7.24,8.11,8.83,7.24,8.11,8.83,7.24,8.11,8.83
1959-01-01,43.041666585,-80.125002435,6.87,7.78,8.97,6.87,7.78,8.97,6.87,7.78,8.97
1960-01-01,43.041666585,-80.125002435,7.17,8.00,8.91,7.17,8.00,8.91,7.17,8.00,8.91
1961-01-01,43.041666585,-80.125002435,7.16,7.91,9.02,7.16,7.91,9.02,7.16,7.91,9.02
1962-01-01,43.041666585,-80.125002435,7.14,7.96,8.70,7.14,7.96,8.70,7.14,7.96,8.70
1963-01-01,43.041666585,-80.125002435,6.87,7.90,8.30,6.87,7.90,8.30,6.87,7.90,8.30
1964-01-01,43.041666585,-80.125002435,6.60,7.71,8.93,6.60,7.71,8.93,6.60,7.71,8.93
1965-01-01,43.041666585,-80.125002435,6.69,7.40,8.18,6.69,7.40,8.18,6.69,7.40,8.18
1966-01-01,43.041666585,-80.125002435,6.74,7.70,8.69,6.74,7.70,8.69,6.74,7.70,8.69
