time,lat,lon,ssp126_prcptot_p10,ssp126_prcptot_p50,ssp126_prcptot_p90,ssp245_prcptot_p10,ssp245_prcptot_p50,ssp245_prcptot_p90,ssp585_prcptot_p10,ssp585_prcptot_p50,ssp585_prcptot_p90
1950-01-01,43.041666585,-79.791669115,755.84,840.42,970.37,755.84,840.43,970.37,755.84,840.43,970.87
1951-01-01,43.041666585,-79.791669115,711.47,854.35,914.70,711.47,854.34,914.70,711.47,854.34,914.70
1952-01-01,43.041666585,-79.791669115,722.97,825.53,938.27,722.97,825.53,938.27,722.97,825.53,938.27
1953-01-01,43.041666585,-79.791669115,703.81,827.62,972.97,703.80,827.62,972.97,703.81,827.62,972.97
1954-01-01,43.041666585,-79.791669115,737.34,841.61,969.39,737.34,841.61,969.39,737.34,841.61,969.39
1955-01-01,43.041666585,-79.791669115,698.11,869.59,1001.18,698.11,869.59,1001.18,698.11,869.58,1001.18
1956-01-01,43.041666585,-79.791669115,720.47,830.46,965.34,720.47,830.46,965.34,720.47,830.46,965.34
1957-01-01,43.041666585,-79.791669115,706.97,852.13,984.37,706.97,852.13,984.37,706.97,852.13,984.36
1958-01-01,43.041666585,-79.791669115,690.57,845.59,988.75,690.57,845.59,988.75,690.57,845.59,988.75
1959-01-01,43.041666585,-79.791669115,739.56,844.10,968.11,739.56,844.10,968.11,739.56,844.10,968.11
1960-01-01,43.041666585,-79.791669115,717.59,852.93,975.90,717.59,852.93,975.90,717.59,852.93,975.90
1961-01-01,43.041666585,-79.791669115,732.91,832.51,992.22,732.91,832.51,992.22,732.91,832.51,992.22
1962-01-01,43.041666585,-79.791669115,676.24,790.06,946.90,676.24,790.06,946.90,676.24,790.06,946.90
1963-01-01,43.041666585,-79.791669115,703.71,808.17,987.15,703.72,808.17,987.15,703.71,808.17,987.15
1964-01-01,43.041666585,-79.791669115,730.39,840.64,961.27,730.39,840.64,961.27,730.39,840.64,961.27
1965-01-01,43.041666585,-79.791669115,712.65,814.41,910.40,712.65,814.41,910.40,712.65,814.41,910.90
1966-01-01,43.041666585,-79.791669115,693.91,865.37,979.26,693.91,865.37,979.26,693.91,865.37,979.26
1967-01-01,43.041666585,-79.791669115,683.79,792.91,917.28,683.79,792.91,917.28,683.79,792.91,917.28
1968-01-01,43.041666585,-79.791669115,690.20,828.48,932.84,690.20,828.48,932.84,690.20,828.48,932.84
1969-01-01,43.041666585,-79.791669115,704.11,850.87,988.50,704.11,850.87,988.50,704.11,850.87,988.50
1970-01-01,43.041666585,-79.791669115,750.90,826.16,901.96,750.90,826.16,901.96,750.90,826.18,901.96
1971-01-01,43.041666585,-79.791669115,699.77,805.96,934.34,699.77,805.96,934.34,699.77,805.96,934.34
1972-01-01,43.041666585,-79.791669115,757.00,884.10,1027.36,757.00,884.10,1027.36,756.99,884.10,1027.36
1973-01-01,43.041666585,-79.791669115,731.07,852.29,989.85,731.07,852.29,989.85,731.07,852.29,989.85
1974-01-01,43.041666585,-79.791669115,702.66,842.39,921.53,702.66,842.39,921.53,702.66,842.40,921.53
1975-01-01,43.041666585,-79.791669115,665.06,825.06,957.28,665.06,825.06,957.28,665.06,825.06,957.28
1976-01-01,43.041666585,-79.791669115,682.15,846.66,957.61,682.15,846.66,957.61,682.15,846.66,957.61
1977-01-01,43.041666585,-79.791669115,682.04,775.15,852.93,682.04,775.14,852.93,682.04,775.15,852.93
1978-01-01,43.041666585,-79.791669115,714.70,838.03,940.91,714.70,838.03,940.92,714.70,838.02,940.91
1979-01-01,43.041666585,-79.791669115,724.21,848.47,1030.83,724.22,848.47,1030.83,724.22,848.47,1030.83
1980-01-01,43.041666585,-79.791669115,704.34,832.43,1036.97,704.34,832.43,1036.97,704.34,832.43,1036.97
1981-01-01,43.041666585,-79.791669115,641.13,827.34,904.83,641.13,827.34,904.84,641.13,827.34,904.83
1982-01-01,43.041666585,-79.791669115,753.26,847.00,924.17,753.27,847.00,924.17,753.26,847.00,924.17
1983-01-01,43.041666585,-79.791669115,727.78,824.44,983.34,727.78,824.44,983.35,727.78,824.44,983.34
1984-01-01,43.041666585,-79.791669115,652.40,815.19,940.50,652.40,815.19,940.50,652.40,815.19,940.50
1985-01-01,43.041666585,-79.791669115,763.41,862.12,964.13,763.41,862.12,964.13,763.41,862.12,964.13
1986-01-01,43.041666585,-79.791669115,758.83,836.70,975.33,758.83,836.70,975.33,758.83,836.70,975.33
1987-01-01,43.041666585,-79.791669115,741.18,866.13,958.19,741.18,866.13,958.19,741.18,866.67,958.19
1988-01-01,43.041666585,-79.791669115,725.41,905.55,1027.55,725.41,905.55,1027.55,725.41,905.55,1027.55
1989-01-01,43.041666585,-79.791669115,711.88,833.08,939.82,711.88,833.08,939.82,711.88,833.10,939.82
1990-01-01,43.041666585,-79.791669115,669.82,881.16,1012.36,669.82,881.16,1012.36,669.82,881.16,1012.36
1991-01-01,43.041666585,-79.791669115,673.46,866.89,989.37,673.46,866.89,989.37,673.46,866.89,989.37
1992-01-01,43.041666585,-79.791669115,706.99,843.23,980.91,706.99,843.23,980.91,706.99,843.24,980.91
1993-01-01,43.041666585,-79.791669115,715.94,811.51,891.20,715.94,811.51,891.20,715.94,811.51,891.20
1994-01-01,43.041666585,-79.791669115,743.59,835.64,963.29,743.59,835.64,963.29,743.59,835.64,963.29
1995-01-01,43.041666585,-79.791669115,726.51,835.20,937.37,726.51,835.20,937.37,726.51,835.20,937.34
1996-01-01,43.041666585,-79.791669115,712.31,846.18,964.54,712.31,846.18,964.54,712.31,846.18,964.54
1997-01-01,43.041666585,-79.791669115,724.16,844.11,962.59,724.16,844.11,962.59,724.16,844.11,962.59
1998-01-01,43.041666585,-79.791669115,686.59,856.29,965.67,686.59,856.29,965.67,686.59,856.26,965.67
1999-01-01,43.041666585,-79.791669115,690.36,823.16,946.99,690.36,823.16,946.99,690.36,823.16,946.99
2000-01-01,43.041666585,-79.791669115,732.36,843.69,897.77,732.36,843.69,897.78,732.36,843.69,897.79
2001-01-01,43.041666585,-79.791669115,720.58,838.18,1031.78,720.58,838.18,1031.78,720.58,838.18,1031.78
2002-01-01,43.041666585,-79.791669115,726.20,806.57,965.25,726.20,806.57,965.25,726.20,806.57,965.25
2003-01-01,43.041666585,-79.791669115,691.68,833.42,962.40,691.68,833.42,962.40,691.69,833.42,962.40
2004-01-01,43.041666585,-79.791669115,655.81,831.19,1020.97,655.81,831.19,1020.97,655.81,831.19,1020.98
2005-01-01,43.041666585,-79.791669115,703.40,877.00,1067.49,703.39,877.00,1067.49,703.40,877.00,1067.49
2006-01-01,43.041666585,-79.791669115,786.87,893.17,954.23,786.86,893.17,954.23,786.84,893.17,954.23
2007-01-01,43.041666585,-79.791669115,695.07,874.15,970.97,695.07,874.15,970.97,695.07,874.15,970.98
2008-01-01,43.041666585,-79.791669115,747.43,863.74,987.15,747.43,863.74,987.15,747.43,863.74,987.15
2009-01-01,43.041666585,-79.791669115,712.93,848.52,1016.88,712.93,848.52,1016.88,712.93,848.52,1016.88
2010-01-01,43.041666585,-79.791669115,721.87,878.08,1008.13,722.81,882.45,1001.66,718.04,875.94,1015.74
2011-01-01,43.041666585,-79.791669115,763.77,922.34,1059.63,757.97,917.89,1064.67,762.97,924.83,1065.45
2012-01-01,43.041666585,-79.791669115,741.91,854.46,989.54,743.07,858.79,985.71,745.18,868.24,987.35
