time,lat,lon,ssp126_r20mm_p10,ssp126_r20mm_p50,ssp126_r20mm_p90,ssp245_r20mm_p10,ssp245_r20mm_p50,ssp245_r20mm_p90,ssp585_r20mm_p10,ssp585_r20mm_p50,ssp585_r20mm_p90
1950-01-01,43.041666585,-80.125002435,4.50,7.00,10.00,4.50,7.00,10.00,4.50,7.00,10.00
1951-01-01,43.041666585,-80.125002435,4.50,7.00,10.00,4.50,7.00,10.00,4.50,7.00,10.00
1952-01-01,43.041666585,-80.125002435,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1953-01-01,43.041666585,-80.125002435,3.00,6.00,9.00,3.00,6.00,9.00,3.00,6.00,9.00
1954-01-01,43.041666585,-80.125002435,2.00,6.00,10.50,2.00,6.00,10.50,2.00,6.00,10.50
1955-01-01,43.041666585,-80.125002435,3.50,6.50,8.00,3.50,6.50,8.00,3.50,6.50,8.00
1956-01-01,43.041666585,-80.125002435,4.50,6.50,9.50,4.50,6.50,9.50,4.50,6.50,9.50
1957-01-01,43.041666585,-80.125002435,4.00,7.00,12.00,4.00,7.00,12.00,4.00,7.00,12.00
1958-01-01,43.041666585,-80.125002435,3.50,6.50,11.00,3.50,6.50,11.00,3.50,6.50,11.00
1959-01-01,43.041666585,-80.125002435,3.00,6.50,9.00,3.00,6.50,9.00,3.00,6.50,9.00
1960-01-01,43.041666585,-80.125002435,3.00,6.00,10.00,3.00,6.00,10.00,3.00,6.00,10.00
1961-01-01,43.041666585,-80.125002435,4.00,7.00,10.00,4.00,7.00,10.00,4.00,7.00,10.00
1962-01-01,43.041666585,-80.125002435,3.00,5.00,8.00,3.00,5.00,8.00,3.00,5.00,8.00
1963-01-01,43.041666585,-80.125002435,3.00,6.00,9.00,3.00,6.00,9.00,3.00,6.00,9.00
1964-01-01,43.041666585,-80.125002435,3.00,5.50,9.00,3.00,5.50,9.00,3.00,5.50,9.00
1965-01-01,43.041666585,-80.125002435,3.50,7.00,9.50,3.50,7.00,9.50,3.50,7.00,9.50
1966-01-01,43.041666585,-80.125002435,4.50,7.00,10.00,4.50,7.00,10.00,4.50,7.00,10.00
1967-01-01,43.041666585,-80.125002435,3.50,6.00,8.50,3.50,6.00,8.50,3.50,6.00,8.50
1968-01-01,43.041666585,-80.125002435,3.50,6.00,9.00,3.50,6.00,9.00,3.50,6.00,9.00
1969-01-01,43.041666585,-80.125002435,4.00,6.50,11.50,4.00,6.50,11.50,4.00,6.50,11.50
1970-01-01,43.041666585,-80.125002435,4.00,6.00,10.00,4.00,6.00,10.00,4.00,6.00,10.00
1971-01-01,43.041666585,-80.125002435,2.50,6.00,9.00,2.50,6.00,9.00,2.50,6.00,9.00
1972-01-01,43.041666585,-80.125002435,5.00,7.50,10.00,5.00,7.50,10.00,5.00,7.50,10.00
1973-01-01,43.041666585,-80.125002435,4.00,7.00,9.00,4.00,7.00,9.00,4.00,7.00,9.00
1974-01-01,43.041666585,-80.125002435,3.00,6.00,9.00,3.00,6.00,9.00,3.00,6.00,9.00
1975-01-01,43.041666585,-80.125002435,3.50,6.50,9.00,3.50,6.50,9.00,3.50,6.50,9.00
1976-01-01,43.041666585,-80.125002435,2.50,6.00,10.00,2.50,6.00,10.00,2.50,6.00,10.00
1977-01-01,43.041666585,-80.125002435,3.00,5.00,7.50,3.00,5.00,7.50,3.00,5.00,7.50
1978-01-01,43.041666585,-80.125002435,4.00,7.00,8.50,4.00,7.00,8.50,4.00,7.00,8.50
1979-01-01,43.041666585,-80.125002435,3.50,6.50,11.00,3.50,6.50,11.00,3.50,6.50,11.00
1980-01-01,43.041666585,-80.125002435,3.50,7.00,10.50,3.50,7.00,10.50,3.50,7.00,10.50
1981-01-01,43.041666585,-80.125002435,4.50,6.00,9.00,4.50,6.00,9.00,4.50,6.00,9.00
1982-01-01,43.041666585,-80.125002435,4.00,8.00,9.50,4.00,8.00,9.50,4.00,8.00,9.50
1983-01-01,43.041666585,-80.125002435,4.50,6.50,10.00,4.50,6.50,10.00,4.50,6.50,10.00
1984-01-01,43.041666585,-80.125002435,2.00,6.50,9.50,2.00,6.50,9.50,2.00,6.50,9.50
1985-01-01,43.041666585,-80.125002435,5.00,6.50,10.00,5.00,6.50,10.00,5.00,6.50,10.00
1986-01-01,43.041666585,-80.125002435,4.00,7.00,10.00,4.00,7.00,10.00,4.00,7.00,10.00
1987-01-01,43.041666585,-80.125002435,3.50,6.00,9.00,3.50,6.00,9.00,3.50,6.00,9.00
1988-01-01,43.041666585,-80.125002435,4.50,6.00,12.00,4.50,6.00,12.00,4.50,6.00,12.00
1989-01-01,43.041666585,-80.125002435,4.50,7.00,9.00,4.50,7.00,9.00,4.50,7.00,9.00
1990-01-01,43.041666585,-80.125002435,2.50,7.00,10.50,2.50,7.00,10.50,2.50,7.00,10.50
1991-01-01,43.041666585,-80.125002435,4.00,6.50,9.00,4.00,6.50,9.00,4.00,6.50,9.00
1992-01-01,43.041666585,-80.125002435,2.00,7.00,9.50,2.00,7.00,9.50,2.00,7.00,9.50
1993-01-01,43.041666585,-80.125002435,4.00,6.50,9.00,4.00,6.50,9.00,4.00,6.50,9.00
1994-01-01,43.041666585,-80.125002435,3.00,6.50,9.00,3.00,6.50,9.00,3.00,6.50,9.00
1995-01-01,43.041666585,-80.125002435,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1996-01-01,43.041666585,-80.125002435,4.50,7.00,10.50,4.50,7.00,10.50,4.50,7.00,10.50
1997-01-01,43.041666585,-80.125002435,4.00,7.00,9.50,4.00,7.00,9.50,4.00,7.00,9.50
1998-01-01,43.041666585,-80.125002435,3.50,7.00,9.50,3.50,7.00,9.50,3.50,7.00,9.50
1999-01-01,43.041666585,-80.125002435,3.50,6.00,8.00,3.50,6.00,8.00,3.50,6.00,8.00
2000-01-01,43.041666585,-80.125002435,3.50,7.00,9.50,3.50,7.00,9.50,3.50,7.00,9.50
2001-01-01,43.041666585,-80.125002435,4.00,8.00,12.50,4.00,8.00,12.50,4.00,8.00,12.50
2002-01-01,43.041666585,-80.125002435,3.50,5.50,10.50,3.50,5.50,10.50,3.50,5.50,10.50
2003-01-01,43.041666585,-80.125002435,4.00,6.00,10.00,4.00,6.00,10.00,4.00,6.00,10.00
2004-01-01,43.041666585,-80.125002435,3.50,7.00,9.00,3.50,7.00,9.00,3.50,7.00,9.00
2005-01-01,43.041666585,-80.125002435,3.00,6.50,11.50,3.00,6.50,11.50,3.00,6.50,11.50
2006-01-01,43.041666585,-80.125002435,4.50,8.00,10.50,4.50,8.00,10.50,4.50,8.00,10.50
2007-01-01,43.041666585,-80.125002435,3.00,7.00,11.00,3.00,7.00,11.00,3.00,7.00,11.00
2008-01-01,43.041666585,-80.125002435,5.00,7.00,11.50,5.00,7.00,11.50,5.00,7.00,11.50
2009-01-01,43.041666585,-80.125002435,4.00,8.00,11.50,4.00,8.00,11.50,4.00,8.00,11.50
2010-01-01,43.041666585,-80.125002435,4.50,7.00,11.50,5.00,7.50,11.50,4.00,7.50,11.50
2011-01-01,43.041666585,-80.125002435,3.50,8.00,12.50,3.00,8.00,12.00,3.00,8.00,12.00
2012-01-01,43.041666585,-80.125002435,4.00,7.50,10.00,4.00,7.00,9.50,4.00,7.50,10.00
2013-01-01,43.041666585,-80.125002435,4.50,8.00,12.00,4.50,8.00,12.00,4.50,8.00,12.00
2014-01-01,43.041666585,-80.125002435,6.00,8.00,10.50,6.00,8.00,10.00,6.00,7.50,10.00
2015-01-01,43.041666585,-80.125002435,4.00,8.00,12.00,5.50,7.00,10.00,5.00,7.00,10.50
2016-01-01,43.041666585,-80.125002435,5.00,8.00,11.00,4.00,8.00,11.50,4.00,7.00,11.00
2017-01-01,43.041666585,-80.125002435,4.50,6.50,10.50,5.50,8.00,10.50,5.00,8.00,9.50
2018-01-01,43.041666585,-80.125002435,4.00,7.00,11.50,4.50,7.00,10.50,5.50,8.50,11.50
2019-01-01,43.041666585,-80.125002435,4.00,7.00,10.50,3.00,7.50,10.50,4.00,7.00,12.00
2020-01-01,43.041666585,-80.125002435,3.00,7.00,11.00,4.00,7.50,11.00,4.50,7.50,12.50
2021-01-01,43.041666585,-80.125002435,4.50,8.00,13.50,3.00,7.00,10.50,6.00,8.00,10.00
2022-01-01,43.041666585,-80.125002435,5.00,8.00,10.00,3.00,7.00,11.50,4.50,8.00,9.50
2023-01-01,43.041666585,-80.125002435,5.00,6.50,10.00,4.00,7.50,13.50,4.50,8.00,12.50
2024-01-01,43.041666585,-80.125002435,2.50,6.00,11.00,4.50,7.50,12.50,4.50,7.00,11.00
2025-01-01,43.041666585,-80.125002435,4.00,8.00,11.50,4.00,7.50,11.00,4.00,8.50,11.50
2026-01-01,43.041666585,-80.125002435,5.00,8.00,11.50,3.50,6.00,11.00,3.00,8.00,11.00
2027-01-01,43.041666585,-80.125002435,5.50,8.00,11.00,4.50,8.00,11.50,4.00,8.00,10.50
2028-01-01,43.041666585,-80.125002435,4.50,8.00,12.00,5.00,8.00,12.50,5.50,8.00,11.00
2029-01-01,43.041666585,-80.125002435,4.00,7.00,11.50,4.00,7.50,10.00,5.00,8.50,12.50
2030-01-01,43.041666585,-80.125002435,4.50,7.00,11.00,3.00,7.00,12.50,4.50,7.50,11.00
